DIEM_QUAN_TRAC,XA,HUYEN,NHIET_DO,PH,DO,DO_MAN,DO_TRONG,DO_KIEM,NO2,NO3,NH4,PO43,COD,VIBRIO_TONG_SO_CFU_ML,VIBRIO_PARAHAEMOLYTICUS_CFU_ML,VIBRIO_LOG,NAM,THANG,NGAY,LABEL_VIBRIO_RISK,LABEL_VIBRIO_LEVEL,LABEL_MOI_TRUONG_TOM,LABEL_TAO_THUC_AN
Sông Cái Ngay,Hàng Vịnh,Năm Căn,27,8.2,3.0,23,25,168.0,0.036,0.3,0.5,0.22,10.4,68.0,0.9,4.23410650459726,2023,8,16,1,1,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,7.5,4.5,24,25,172.0,0.123,0.2,1.26,0.308,11.2,0.9,0.9,0.6418538861723948,2022,11,22,0,0,2,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.6,4.0,26,25,116.0,0.0,0.0,0.65,0.0,10.0,450.0,9.9,6.111467339502679,2025,8,21,2,2,2,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,8.2,4.0,21,20,119.0,0.02,0.58,1.16,0.0,25.0,9.9,9.9,2.388762789235098,2023,9,21,0,0,2,1
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,27,7.3,5.0,24,25,129.0,0.0,0.74,0.14,0.08,19.0,320.0,9.9,5.771441123130016,2025,4,9,1,1,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.9,4.0,25,20,110.0,0.004,0.184,0.241,0.0,11.5,0.9,0.9,0.6418538861723948,2022,8,11,0,0,2,1
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,29,8.4,4.0,21,15,132.0,0.0,0.73,1.24,0.07,17.0,160.0,9.9,5.081404364984463,2023,9,14,1,1,1,2
Sông Rạch Tàu,Đất Mũi ,Ngọc Hiển,28,8.2,4.0,28,35,147.0,0.06,0.74,0.14,0.0,17.0,700.0,9.9,6.55250788703459,2025,7,24,2,2,2,2
Sông Rạch Tàu,Sông Rạch Tàu,Ngọc Hiển,29,7.7,4.0,26,20,106.0,0.02,0.24,0.62,0.39,17.9,0.9,0.9,0.6418538861723948,2023,7,12,0,0,2,2
Sông Cái Ngay,Hàng Vịnh,Năm Căn,28,8.2,3.0,21,20,83.0,0.17,0.94,0.71,0.43,25.0,9.9,9.9,2.388762789235098,2023,10,19,0,0,1,2
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.3,4.5,19,25,77.0,0.0,0.61,0.8,0.12,25.0,20.0,9.9,3.044522437723423,2023,9,7,0,0,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,28,8.2,5.0,29,30,151.0,0.71,1.65,0.0,0.3,17.0,14000.0,9.9,9.546884034617923,2025,7,8,2,2,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,27,8.1,3.0,21,15,143.0,0.02,0.58,0.98,0.0,26.0,10.0,9.9,2.3978952727983707,2023,9,21,0,0,1,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,28,7.7,4.0,22,20,119.0,0.102,0.183,0.49,0.06,9.86,15.0,0.9,2.772588722239781,2022,11,1,0,0,2,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,28,8.2,3.0,24,15,154.0,0.77,0.57,2.11,0.28,38.4,290.0,60.0,5.673323267171493,2022,8,30,1,1,0,2
Sông Rạch Gốc,Tân Ân ,Ngọc Hiển,29,7.8,4.0,25,15,112.0,0.004,0.281,0.256,0.0,11.2,0.9,0.9,0.6418538861723948,2022,8,11,0,0,2,1
Sông Cửa Lớn,TT. Năm Căn,Năm Căn,26,7.0,4.0,14,15,118.0,0.27,0.277,1.09,0.031,19.2,8200.0,0.9,9.012011377036412,2024,9,19,2,2,1,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,8.2,4.0,24,15,140.0,0.665,0.73,1.79,0.23,38.1,1600.0,75.0,7.378383712996714,2022,8,30,2,2,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,27,7.2,5.0,17,20,127.0,0.035,0.402,0.256,0.101,17.6,6000.0,0.9,8.699681400989514,2024,9,5,2,2,2,2
Sông Cửa Lớn ,Lâm Hải ,Năm Căn,28,7.5,3.0,23,15,133.0,0.188,0.16,0.31,0.16,13.8,0.9,0.9,0.6418538861723948,2022,9,13,0,0,1,2
Sông Nhưng Miên,Viên An Đông ,Ngọc Hiển,30,8.1,4.0,27,15,97.7,0.013,0.329,1.33,0.052,11.7,9000.0,0.9,9.105090961257083,2024,6,27,2,2,1,2
